Time(ms),MotorCurrent,Position,Velocity,Acceleration
19267,1.00,9,397.11,87360.72
19279,81.00,5,-336.45,-61700.71
19291,302.00,3,-168.22,14149.44
19303,130.00,0,-252.42,-7084.25
19315,134.00,5,420.34,56558.53
19327,89.00,2,-252.19,-56534.15
19339,268.00,18,1343.41,133970.99
19351,0.00,42,2015.96,56493.14
19362,32.00,62,1685.77,-27831.05
19374,349.00,82,1685.91,11.98
19386,84.00,103,1771.55,7224.54
19398,65.00,124,1769.46,-176.09
19410,310.00,144,1685.35,-7088.41
19422,195.00,166,1849.52,13801.66
19434,99.00,187,1769.91,-6709.24
19446,140.00,210,1937.01,14072.23
19461,66.00,242,2121.17,12207.79
19472,264.00,266,2019.18,-8580.66
19484,2.00,291,2101.90,6954.59
19496,92.00,318,2268.91,14034.24
19508,165.00,34,-23716.08,-2169935.93
19521,154.00,145,9047.93,2670688.35
19533,252.00,195,4131.55,-406245.34
19547,26.00,224,2068.62,-147152.25
19559,261.00,248,2013.59,-4616.95
19570,20.00,276,2349.39,28175.51
19582,163.00,308,2674.02,27127.33
19594,37.00,338,2515.93,-13257.80
19606,214.00,362,2015.96,-41997.02
19618,1.00,387,2090.30,6215.83
19633,77.00,419,2118.64,1876.53
19645,172.00,439,1681.38,-36760.43
19657,59.00,463,2015.45,28054.51
19669,187.00,486,1933.59,-6882.41
19681,0.00,12,-39678.55,-3483353.34
19693,131.00,13,83.70,3327941.87
19705,113.00,4,-753.96,-70172.93
19717,202.00,31,2258.47,251980.56
19729,0.00,15,-1343.97,-302599.11
19741,107.00,42,2264.91,302733.31
19753,284.00,71,2437.59,14514.47
19764,128.00,100,2431.66,-497.01
19776,179.00,130,2515.93,7067.46
19788,56.00,160,2513.19,-229.54
19800,252.00,188,2347.42,-13898.09
19815,256.00,222,2270.91,-5110.35
19827,209.00,250,2376.91,8998.67
19839,21.00,278,2380.95,343.74
19851,171.00,307,2455.55,6316.15
19862,166.00,3,-25848.14,-2406571.58
19874,146.00,18,1270.54,2297025.46
19886,75.00,6,-1018.50,-194283.08
19898,124.00,9,254.17,107826.44
19912,181.00,12,216.37,-2726.33
19923,76.00,16,339.59,10460.59
19935,91.00,0,-1366.94,-145794.50
19947,50.00,0,0.00,117022.28
19958,174.00,0,0.00,0.00
19970,115.00,22,1885.01,161512.65
19982,274.00,46,2045.16,13647.20
19997,120.00,3,-2922.78,-337680.00
20008,97.00,2,-85.07,241404.84
20020,272.00,1,-85.01,5.53
20032,4.00,8,595.95,57973.15
20044,46.00,4,-339.99,-79552.83
20055,196.00,8,340.25,57863.50
20067,105.00,33,2127.66,152119.81
20079,348.00,54,1786.17,-29045.64
20091,18.00,74,1698.95,-7409.39
20102,22.00,95,1786.47,7445.95
20114,250.00,115,1703.29,-7084.53
20126,106.00,135,1701.84,-123.33
20138,270.00,157,1870.75,14363.12
20149,60.00,178,1790.74,-6822.63
20161,5.00,199,1785.71,-427.30
20173,262.00,224,2122.78,28620.82
20188,242.00,254,2005.48,-7841.44
20200,1.00,279,2099.78,7920.37
20212,66.00,307,2350.57,21053.49
20224,93.00,41,-22087.52,-2029236.12
20236,61.00,165,9939.88,2567326.61
20248,270.00,196,2593.49,-614606.26
20260,131.00,225,2426.58,-13966.70
20274,267.00,258,2365.59,-4371.60
20286,70.00,286,2350.18,-1293.87
20298,169.00,314,2347.61,-214.77
20310,39.00,340,2181.57,-13931.92
20322,211.00,0,-28566.63,-2583448.29
20334,0.00,9,755.03,2459870.89
20346,106.00,35,2189.66,120820.66
20361,151.00,68,2179.80,-651.14
20373,113.00,91,1934.72,-20615.45
20384,165.00,113,1848.89,-7213.15
20396,217.00,18,-7970.47,-823841.11
20408,91.00,6,-1005.87,583788.75
20420,278.00,1,-419.71,49203.22
20432,123.00,20,1592.89,168729.06
20444,183.00,20,0.00,-133687.85
20456,15.00,25,420.66,35391.47
20468,235.00,53,2349.19,161802.79
20480,4.00,82,2431.66,6915.27
20492,135.00,110,2352.94,-6615.19
20504,134.00,139,2430.64,6512.59
20516,182.00,168,2432.68,171.04
20527,201.00,195,2271.96,-13524.03
20543,1.00,3,-12694.21,-989499.32
20554,124.00,32,2430.64,1267694.05
20566,158.00,12,-1677.57,-344590.99
20578,170.00,7,-419.15,105492.85
20590,194.00,18,923.83,112788.52
20602,64.00,23,419.96,-42320.68
20614,262.00,10,-1093.08,-127220.74
20626,99.00,1,-753.39,28435.44
